Name of Program,Duration,Fee per Semester
"Bachelor of Engineering- Computer Science & Engineering(Lateral Entry) - ITP (Study in USA, Australia)",3 Years,136350/- INR
Bachelor of Engineering- Computer Science Engineering (Graphics & Gaming)- Lateral Entry,3 Years,128150/- INR
Bachelor of Fine Arts,4 Years,57000/- INR
Bachelor of Law - 3 years,3 Years,65650/- INR
Bachelor of Optometry,4 Years,60000/- INR
Bachelor of Optometry - Lateral Entry,3 Years,60150/- INR
Bachelor of Pharmacy (Lateral Entry),3 Years,133150/- INR
Bachelor of Physical Education and Sports,3 Years,36150/- INR
Bachelor of Physiotherapy,4.5 Years,76950/- INR
Bachelor of Physiotherapy (ITP),4.5 Years,76950/- INR
"Bachelor of Science (Animation, VFX and Gaming)",4 Years,89150/- INR
Bachelor of Science (Biotechnology),4 Years,65650/- INR
Bachelor of Science (Computer Science),4 Years,53150/- INR
Bachelor of Science (Computer Science) (ITP),3 Years,53150/- INR
Bachelor of Science (Culinary Sciences) (ITP),3 Years,100150/- INR
Bachelor of Science (Fashion & Design),4 Years,90150/- INR
Bachelor of Science - Airlines & Airport Management,4 Years,50150/- INR
Bachelor of Science - Culinary Sciences,4 Years,100150/- INR
Bachelor of Science - Hotel & Hospitality Management - (Resort & Event Management / Restaurant & Catering Management ),4 Years,75150/- INR
Bachelor of Science - Travel & Tourism Management,4 Years,50150/- INR
Bachelor of Science – (Biotechnology) – ITP (Study in Australia),3 Years,65650/- INR
Bachelor of Science – Airlines and Airport Management – ITP,3 Years,50150/- INR
Bachelor of Science – Chemistry (Hons.) - ITP (Study in Australia),3 Years,45650/- INR
Bachelor of Science – Hotel & Hospitality Management- (Resort & Event Management / Restaurant & Catering Management)- ITP (Study in Canada),3 Years,75150/- INR
"Bachelor of Science – Travel and Tourism Management – ITP (Study in USA, Italy)",3 Years,49500/- INR
Bachelor of Science- (Interior Design),4 Years,90150/- INR
BBA (Hons) - Business Analytics,4 Years,81150/- INR
BBA (Hons)- Digital Marketing,4 Years,81150/- INR
BBA + LLB (Hons) - Integrated,5 Years,87950/- INR
BBA - (Bachelor of Business Administration),4 Years,78150/- INR
BBA - (Chartered Certified Accountants),4 Years,93150/- INR
"BBA - ITP (Study in USA, Australia)",3 Years,78150/- INR
BE + ME (Computer Science and Engineering) (Integrated),5 Years,98000/- INR
Doctor of Philosophy (Architecture),3 Years,70000/- INR
Doctor Of Philosophy (Biotechnology),6 Years,70000/- INR
Doctor Of Philosophy (Business Management),6 Years,70000/- INR
Doctor Of Philosophy (Chemistry),6 Years,70000/- INR
Doctor of Philosophy (Civil Engineering),6 Years,70000/- INR
Doctor Of Philosophy (Computer Science & Engineering),6 Years,70000/- INR
Doctor Of Philosophy (Mechanical Engineering),6 Years,70000/- INR
Doctor of Philosophy (Pharmaceutical Sciences),6 Years,70000/- INR
Doctor Of Philosophy (Physics),6 Years,70000/- INR
Doctor of Philosophy - Tourism & Hospitality Management,3 Years,70000/- INR
Doctor of Philosophy- (Economics),3 Years,70000/- INR
Doctor of Philosophy- (Education),3 Years,70000/- INR
Doctor of Philosophy- (Electrical Engineering),6 Years,70000/- INR
Doctor of Philosophy- (Electronics and Communication Engineering),6 Years,70000/- INR
Doctor of Philosophy- (English),3 Years,70000/- INR
Doctor of Philosophy- (Mathematics),6 Years,70000/- INR
Doctor of Philosophy- (Psychology),3 Years,70000/- INR
Doctor of Philosophy- Mass Communication,3 Years,70000/- INR
Doctor of Philosophy:- Commerce,3 Years,70000/- INR
Doctor of Philosophy:- Computer Applications,6 Years,70000/- INR
Doctor of Philosophy:- Forensic Science,6 Years,70000/- INR
Doctor of Philosophy:- Law,3 Years,70000/- INR
M.Sc - (Botany),2 Years,40400/- INR
M.Sc - (Chemistry),2 Years,40400/- INR
M.Sc - (Data Science),2 Years,53400/- INR
M.Sc - (Forensic Science),2 Years,75400/- INR
M.Sc - (Industrial Chemistry),2 Years,42900/- INR
M.Sc - (Industrial Microbiology),2 Years,59500/- INR
M.Sc - (Mathematics),2 Years,35900/- INR
M.Sc - (Nutrition and Dietetics),2 Years,59400/- INR
M.Sc - (Physics),2 Years,40400/- INR
M.Sc - (Zoology),2 Years,40400/- INR
M.Sc - Forensic Science (ITP),2 Years,75400/- INR
M.Sc - Mathematics (ITP),2 Years,35900/- INR
Master of Architecture,2 Years,56400/- INR
Master of Arts - (Economics),2 Years,45900/- INR
Master of Arts - (Journalism & Mass Communication),2 Years,63400/- INR
Master of Arts - Clinical Psychology,2 Years,63400/- INR
Master of Arts - English,2 Years,35900/- INR
Master of Arts - Psychology,2 Years,35900/- INR
Master of Business Administration (Applied Finance),2 Years,170900/- INR
Master of Business Administration (Healthcare and Hospital Management),2 Years,155900/- INR
Master of Business Administration (Tourism and Hospitality Management) (ITP),2 Years,110000/- INR
"Master of Business Administration (Tourism, Hospitality and Aviation)",2 Years,110900/- INR
